site_id,site_name,model,period,scenario,start_year,end_year,variable,climate_path,boundary_source,clip_boundary
tallgrass_ks,Tallgrass Prairie National Preserve,CanESM2,historical_1981_2010,historical,1981,2010,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\tallgrass_ks\CanESM2\tallgrass_ks_CanESM2_historical_1981_2010_pr.tif,NPS Tallgrass Prairie National Preserve Tract and Boundary Data (dissolved tract boundary),official_boundary_bbox
tallgrass_ks,Tallgrass Prairie National Preserve,CNRM-CM5,historical_1981_2010,historical,1981,2010,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\tallgrass_ks\CNRM-CM5\tallgrass_ks_CNRM-CM5_historical_1981_2010_pr.tif,NPS Tallgrass Prairie National Preserve Tract and Boundary Data (dissolved tract boundary),official_boundary_bbox
tallgrass_ks,Tallgrass Prairie National Preserve,HadGEM2-ES365,historical_1981_2010,historical,1981,2010,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\tallgrass_ks\HadGEM2-ES365\tallgrass_ks_HadGEM2-ES365_historical_1981_2010_pr.tif,NPS Tallgrass Prairie National Preserve Tract and Boundary Data (dissolved tract boundary),official_boundary_bbox
tallgrass_ks,Tallgrass Prairie National Preserve,inmcm4,historical_1981_2010,historical,1981,2010,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\tallgrass_ks\inmcm4\tallgrass_ks_inmcm4_historical_1981_2010_pr.tif,NPS Tallgrass Prairie National Preserve Tract and Boundary Data (dissolved tract boundary),official_boundary_bbox
tallgrass_ks,Tallgrass Prairie National Preserve,CanESM2,future_2041_2070,rcp85,2041,2070,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\tallgrass_ks\CanESM2\tallgrass_ks_CanESM2_future_2041_2070_pr.tif,NPS Tallgrass Prairie National Preserve Tract and Boundary Data (dissolved tract boundary),official_boundary_bbox
tallgrass_ks,Tallgrass Prairie National Preserve,CNRM-CM5,future_2041_2070,rcp85,2041,2070,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\tallgrass_ks\CNRM-CM5\tallgrass_ks_CNRM-CM5_future_2041_2070_pr.tif,NPS Tallgrass Prairie National Preserve Tract and Boundary Data (dissolved tract boundary),official_boundary_bbox
tallgrass_ks,Tallgrass Prairie National Preserve,HadGEM2-ES365,future_2041_2070,rcp85,2041,2070,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\tallgrass_ks\HadGEM2-ES365\tallgrass_ks_HadGEM2-ES365_future_2041_2070_pr.tif,NPS Tallgrass Prairie National Preserve Tract and Boundary Data (dissolved tract boundary),official_boundary_bbox
tallgrass_ks,Tallgrass Prairie National Preserve,inmcm4,future_2041_2070,rcp85,2041,2070,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\tallgrass_ks\inmcm4\tallgrass_ks_inmcm4_future_2041_2070_pr.tif,NPS Tallgrass Prairie National Preserve Tract and Boundary Data (dissolved tract boundary),official_boundary_bbox
midewin_il,Midewin National Tallgrass Prairie,CanESM2,historical_1981_2010,historical,1981,2010,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\midewin_il\CanESM2\midewin_il_CanESM2_historical_1981_2010_pr.tif,"USFS Forest Administrative Boundaries map service query (ADMINFORESTID=99091500010343, REGION=09, FORESTNUMBER=15, FORESTORGCODE=0915)",official_boundary_bbox
midewin_il,Midewin National Tallgrass Prairie,CNRM-CM5,historical_1981_2010,historical,1981,2010,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\midewin_il\CNRM-CM5\midewin_il_CNRM-CM5_historical_1981_2010_pr.tif,"USFS Forest Administrative Boundaries map service query (ADMINFORESTID=99091500010343, REGION=09, FORESTNUMBER=15, FORESTORGCODE=0915)",official_boundary_bbox
midewin_il,Midewin National Tallgrass Prairie,HadGEM2-ES365,historical_1981_2010,historical,1981,2010,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\midewin_il\HadGEM2-ES365\midewin_il_HadGEM2-ES365_historical_1981_2010_pr.tif,"USFS Forest Administrative Boundaries map service query (ADMINFORESTID=99091500010343, REGION=09, FORESTNUMBER=15, FORESTORGCODE=0915)",official_boundary_bbox
midewin_il,Midewin National Tallgrass Prairie,inmcm4,historical_1981_2010,historical,1981,2010,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\midewin_il\inmcm4\midewin_il_inmcm4_historical_1981_2010_pr.tif,"USFS Forest Administrative Boundaries map service query (ADMINFORESTID=99091500010343, REGION=09, FORESTNUMBER=15, FORESTORGCODE=0915)",official_boundary_bbox
midewin_il,Midewin National Tallgrass Prairie,CanESM2,future_2041_2070,rcp85,2041,2070,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\midewin_il\CanESM2\midewin_il_CanESM2_future_2041_2070_pr.tif,"USFS Forest Administrative Boundaries map service query (ADMINFORESTID=99091500010343, REGION=09, FORESTNUMBER=15, FORESTORGCODE=0915)",official_boundary_bbox
midewin_il,Midewin National Tallgrass Prairie,CNRM-CM5,future_2041_2070,rcp85,2041,2070,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\midewin_il\CNRM-CM5\midewin_il_CNRM-CM5_future_2041_2070_pr.tif,"USFS Forest Administrative Boundaries map service query (ADMINFORESTID=99091500010343, REGION=09, FORESTNUMBER=15, FORESTORGCODE=0915)",official_boundary_bbox
midewin_il,Midewin National Tallgrass Prairie,HadGEM2-ES365,future_2041_2070,rcp85,2041,2070,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\midewin_il\HadGEM2-ES365\midewin_il_HadGEM2-ES365_future_2041_2070_pr.tif,"USFS Forest Administrative Boundaries map service query (ADMINFORESTID=99091500010343, REGION=09, FORESTNUMBER=15, FORESTORGCODE=0915)",official_boundary_bbox
midewin_il,Midewin National Tallgrass Prairie,inmcm4,future_2041_2070,rcp85,2041,2070,pr,c:\Users\kayle\Desktop\earth-analytics\spring-03-habitat-suitability-climate-change-kward-alt\data\processed\climate\midewin_il\inmcm4\midewin_il_inmcm4_future_2041_2070_pr.tif,"USFS Forest Administrative Boundaries map service query (ADMINFORESTID=99091500010343, REGION=09, FORESTNUMBER=15, FORESTORGCODE=0915)",official_boundary_bbox
